Q.No,Question,OPT A,OPT B,OPT C,OPT D,CA,Domain,Class
28,In what ratio must sugar at Rs. 62 per Kg be mixed with sugar at Rs. 72 per Kg so that the mixture must be worth Rs. 64.50 per Kg?,1:03,2:03,4:03,3:01,3:01,Aptitude,Easy
29,In what proportion must wheat at Rs. 3.10 per kg be mixed with wheat at Rs. 3.60 per kg so that the mixture be worth Rs. 3.25 per kg?,7:03,6:03,5:03,7:01,7:03,Aptitude,Easy
30,"Two trains of equal lengths take 10 seconds and 15 seconds respectively to cross a telegraph post. If the length of each train be 120 meters, in what time (in seconds) will they cross each other travelling in opposite direction?",10,15,12,16,12,Aptitude,Easy
31,"What is the length of the fast train, If two trains are running at 40 km/hr and 20 km/hr respectively in the same direction. Fast train completely passes a man sitting in the slower train in 5 seconds.",26,27 7/9,28 7/9,30,27 7/9,Aptitude,Easy
32,"Find the speed of the train, If a train 125 m long passes a boy, running at 5 km/hr in the same direction in which the train is going, in 10 seconds.Find the speed of the train, If a train 125 m long passes a boy, running at 5 km/hr in the same direction in which the train is going, in 10 seconds Answer in kph.",50,53,44,49,50,Aptitude,Easy
33,"Find the length of the faster train, If Two train travel in opposite directions at 36 km/hr and 45 km/hr and a Boy sitting in slower train passes the faster train in 8 seconds.",110,150,180,160,180,Aptitude,Easy
34,"Find the length of each train, If Two trains of equal length are running on parallel lines in the same direction at 46 km/hr and 36 km/hr. The faster train passes the slower train in 36 seconds.",40,50,60,65,50,Aptitude,Easy
35,The average of first five multiples of 3 is :,9,10,8,11,9,Aptitude,Easy
36,"The average of 50 numbers is 30. If two numbers, 35 and 40 are discarded, then the average of the remaining numbers is nearly:",29.68,29.27,28.32,28.78,29.68,Aptitude,Easy
37,"The average score of a cricketer for ten matches is 38.9 runs. If the average for the first six matches is 42, then find the average for the last four matches.",35,30.25,33.5,34.25,34.25,Aptitude,Easy
38,A Batsman makes a score of 87 runs in the 17th inning and thus increases his average by 3. Find his average after 17th inning.,39,40,54,53,39,Aptitude,Easy
39,"Rahul obtained 76, 65, 82, 67 and 85 marks (out of 100) in English, mathematics,physics, chemistry and biology. What are his average marks?",59,75,65,None,75,Aptitude,Easy
40,"The average temperature(degree) on Wednesday, Thursday and Friday was 25. Theaverage temperature on Thursday, Friday and Saturday was 24. If thetemperature on Saturday was 27, what was the temperature onWednesday?Answer in degree.",21,24,30,27,30,Aptitude,Easy
41,"Two pipes P and Q can fill a tank in 20 and 30 minutes respectively. If both the pipes are used together, then how long will it take to fill the tank?Answer in min",12,15,24,8,12,Aptitude,Medium
42,"Two pipes P and Q can fill a tank in 15 minutes and 20 minutes respectively. Both the pipes are opened together but after 4 minutes, pipe A is turned off. What is the total time required to fill the tank?",15m10s,12m20s,12m30s,14m40s,14m40s,Aptitude,Medium
43,"A tank is filled in 5 hours by three pipes P, Q and R. The pipe R is twice as fast as Q and Q is twice as fast as P. How much time will pipe P alone take to fill the tank?Answer in hrs",35,20,55,10,35,Aptitude,Medium
44,Amit purchased 20 dozens of toys at the rate of 375 Rs per dozen .He sold each one of them at the rate of Rs 33.What was his percentage profit?,7.85%,5.60%,6.50%,5.80%,5.60%,Aptitude,Medium
45,"Sachin purchased a house for Rs.75000 and a site for Rs.15000 respectively, if he sold the house for Rs.83000 and the site for Rs.10000, then find the resultant percentage of gain?",3.33%,5.56%,3.45%,3.76%,3.33%,Aptitude,Medium
46,"One-fifth of the cost price, one-seventh of the marked price and one-sixth of the selling price are all equal. What is the gain or loss to the trader?",60.66%,30%,120%,20%,20%,Aptitude,Medium
47,"The G.C.D. of 1.08, 0.36 and 0.9 is:",0.201,0.1,1.3,0.18,0.18,Aptitude,Medium
48,The H.C.F. of two numbers is 23 and the other two factors of their L.C.M. are 13 and 14. The larger of the two numbers is:,222,322,108,296,322,Aptitude,Medium
49,"Six bells commence tolling together and toll at intervals of 2,4,6,8,10 and 12 seconds respectively. In 30 minutes, how many times do they toll together?",16,12,22,23,16,Aptitude,Medium
50,Thesum of ages of Sarvesh and his father is 46 years. 3 years back father�s age was4 times more thanSarvesh�s age . Find present age ofSarvesh.,11,12,8,16,11,Aptitude,Medium
51,"In 30 years, age of Kartik becomes 3 times of his present age . What is hispresent age?",15,18,12,16,15,Aptitude,Medium
52,Sumof present ages of P and Q is 60 years. 5 years hence their ages will be in theratio of 3:4 . Find P�s present age.,20,25,26,28,25,Aptitude,Medium
53,"At the time of marriage , a man was 6 years elder to his wife. 12 years aftertheir marriage , his age is 6/5 times the age of his wife. What was wife�s ageat the time of marriage ?",20,22,16,18,18,Aptitude,Medium
54,Aand B are 3 years and 2 years old respectively . Their father is 40 years old.After how many years father�s age would be twice of combined age of A and B ?,8,12,11,10,10,Aptitude,Medium
55,"A boy writes all the numbers from 100 to 999. The number of zeroes that he uses is 'a', the number of 5's that he uses is 'b' and the number of 8's he uses is 'c'. What is the value of b c-a?",380,480,180,280,380,Aptitude,Medium
56,Find the remainder when 2^89 is divided by 89?,3,2,4,5,2,Aptitude,Medium
57,What number should be subtracted from x^3+4x^2+7x + 12 if it is to be perfectly divisible by x + 3?,42,41,40,39,42,Aptitude,Medium
58,Find the unit's digit in 264^102 + 264^103,0,1,2,3,0,Aptitude,Medium
59,"Let n be the number of different 5 digit numbers, divisible by 4 with the digits 1, 2, 3, 4, 5 and 6, no digit being repeated in the numbers. What is the value of n?",182,172,192,None,192,Aptitude,Medium
60,Find the total number of distinct vehicle numbers that can be formed using two letters followed by two numbers. Letters need to be distinct.,71840,64050,62200,65000,65000,Aptitude,Medium
61,What is the value of 1 x 1!+2 x 2!+3!x3!+�. n x n!; where n! means n factorial or n(n1)(n2)...,(n+1)! / n(n1),(n+1)! - 1!,(n+1)n!,n(n1)(n1)!,n(n1)(n1)!,Aptitude,Medium
62,How many four letter distinct initials can be formed using the alphabets of English language such that the last of the four words is always a consonant?,26^3 * 25,26*25*24*23,25*24*23*22,26^3*21,26^3*21,Aptitude,Medium
63,"In how many ways can seven friends be seated in a row having 35 seats, such that no two friends occupy adjacent seats?",28C7,28P7,29P7,29C7,29P7,Aptitude,Medium
64,How much water must be added to 60 litres of milk at 1.5 litres for Rs. 20 So as to have a mixture worth Rs.10 2/3 a litre? Answer is lts,15,12,10,18,15,Aptitude,Medium
65,Two vessels A and B contain milk and water mixed in the ratio 5:2 and 7:6 respectively.Find the ratio in which these mixture be mixed to obtain a new mixture in vessel c containing milk and water in the ratio 8:5?,7:09,1:07,3:08,2:09,7:09,Aptitude,Medium
66,How many kilograms of coffee costing Rs. 9 per kg must be mixed with 27 kg of coffee costing Rs.7 per kg so that there may be gain of 10% by selling the mixture at Rs.9.24 per kg?,60,50,63,77,63,Aptitude,Medium
67,"P can contains a mixture of two liquids P and Q in the ratio 7:5 when 9 litres of mixture are drawn off and the can is filled with Q, the ratio of P and Q becomes 7:9. How many litres of liquid P was contained by the can initially?",21,28,45,36,21,Aptitude,Medium
68,A boy travelled a distance of 90Km in 9 hours partly on foot at 8 kmph and partly on bicycle at 17 kmph. Find the distance travelled on foot.,46,58,56,62,56,Aptitude,Medium
69,A train 110 meters long is running with a speed of 60 km/hr. In what time will it pass a boy who is running at 6 km/hr in the direction opposite to that in which the train is going?,4,3,6,5,6,Aptitude,Medium
70,"Find the length of the platform, If a train passes a station platform in 36 seconds and a boy standing on the platform in 20 seconds and the speed of the train is 54 km/hr. Answer in m.",240,130,270,245,240,Aptitude,Medium
71,"Find the length of the train, If A train takes 18 seconds to pass completely through a station 162 m long and 15 seconds through another station 120 m long.",80,90,110,95,90,Aptitude,Medium
72,A train speeds past a pole in 15 seconds and a platform 100 m long in 25 seconds. Its length is :,120,150,130,170,150,Aptitude,Medium
73,A train crosses a platform 100 m long in 60 seconds at a speed of 45 km/hr. The time taken by the train to cross an electric pole is :,51,52,53,54,52,Aptitude,Medium
74,"Find the length of the train, If a train running at the speed of 60 km/hr crosses a pole in 9 seconds.",120,110,100,150,150,Aptitude,Medium
75,"Find the speed of the train, If a train 132 m long pass a pole in 6 seconds. Answer in kph",77.2,79.6,80.2,79.2,79.2,Aptitude,Medium
76,"When a student weighing 45 kgs left a class, the average weight of the remaining 59 students increased by 200g. What is the average weight of the remaining 59 students?",76,59,57,52.2,57,Aptitude,Medium
77,The difference between two angles of a triangle is 24o. The average of the same two angles is 54o.Which one of the following is the value of the greatest angle of the triangle?,72,45,66,60,72,Aptitude,Medium
78,"Which one of the following numbers can be removed from the set S = {0, 2, 4, 5, 9}without changing the average of set S?",0,2,4,5,4,Aptitude,Medium
79,"Average of ten positive numbers is x. If each number by 10%, then x :",Remains unchanged,May decrease,May increase,Increase by 10%,Increase by 10%,Aptitude,Medium
80,40% of the employees in a factory are workers. All the remaining employees areexecutives. The annual income of each worker is Rs. 390. The annual income ofeach executive is Rs. 420. What is the average annual income of all theemployees in the factory together?,408,415,390,405,408,Aptitude,Hard
81,"In a set of three numbers, the average of first two numbers is 2, the average of the last two numbers is 3, and the average of the first and the last numbers is 4. What is the average of three numbers?",2,3,2.5,3.5,2.5,Aptitude,Hard
82,"The average monthly salary of 12 workers and 3 managers in a factory was Rs. 600.When one of the manager whose salary was Rs. 720, was replaced with a newmanager, then the average salary of the team went down to 580. What is thesalary of the new manager?",570,520,420,690,420,Aptitude,Hard
83,"Three math classes: X, Y, and Z, take an algebra test. The average score in class X is 83. The average score in class Y is 76. The average score in class Z is 85. The average score of all students in classes X and Y together is 79. The average score of all students in classes Y and Z together is 81. What is the average for all the three classes?",81,83,81.5,84.5,81.5,Aptitude,Hard
84,"The average price of 10 books is Rs.12 while the average price of 8 of these books is Rs.11.75. Of the remaining two books, if the price of one book is 60% more than the price of the other, what is the price of each of these two books?","5,7.5","12,14","8,12","10,16","10,16",Aptitude,Hard
85,"Find the length of the train (in meters), If the length of a train and that of a platform are equal. If with a speed of 90 k/hr, the train crosses the platform in one minute",750,670,603,300,750,Aptitude,Hard
86,A speed of 14 meters per second is the same as : Answer in kph,40.5,40.4,45.4,50.4,50.4,Aptitude,Hard
87,"What is the length of the train ,If a train runs at the speed of 72 km/hr and crosses a 250 m long platform in 26 seconds.",270,265,260,280,270,Aptitude,Hard
88,A 270 meters longtrain running at the speed of 120 km/h crosses another train running inopposite direction at the speed of 80 km/h in 9 seconds. What is the length ofthe other train?Answer in m,230,320,220,210,230,Aptitude,Hard
89,A man is standing on arailway bridge which is 180 m long. He finds that a train crosses the bridge in20 seconds but himself in 8 seconds. Find itsspeed. Answer in kph,44,45,54,55,54,Aptitude,Hard
90,"Two trains are runningin opposite directions at same speed. If the length of each train is 120meters and they cross each other in 12 seconds,what is the common speed ? Answer in kph",25,40,36,54,36,Aptitude,Hard
91,"Two train 200 m and150 m long are running on parallel rails at the rate of 40 kmph and 45 kmphrespectively. In how much time will they cross each other, if they are runningin the same direction?",252sec,225sec,222sec,250sec,252sec,Aptitude,Hard
92,A jogger running at 9km/h alongside a railway track is 40 m ahead of the engine of a 120 m long train running at 45 km/h in the same direction. In how much time will thetrain pass the jogger?,52sec,22sec,26sec,36sec,36sec,Aptitude,Hard
93,A milk vendor has 2 cans of milk .The first contains 25% water and the rest milk.The second contains 50% water. How much milk should he mix from each of thecontainer so as to get 12 litres of milk such that the ratio of water to milk is3:5?,1l,6l,5l,7l,6l,Aptitude,Hard
94,"Find the value of x, If a sample of x litres from a container having a 60 litre mixture of milk and water containing milk and water in the ratio of 2 : 3 is replaced with pure milk so that the container will have milk and water in equal proportions.",30l,5l,6l,10l,10l,Aptitude,Hard
95,"In what ratio must a boy mix three kinds of coffee costing him Rs 1.20,Rs 1.44 and Rs 1.74 per Kg so that the mixture may be worth Rs 1.41 per Kg?",11:45:07,0.511886574,27:23:06,25:45:08,0.511886574,Aptitude,Hard
96,"A20 litre mixture of milk and water contains milk and water in the ratio 3: 2.10 litres of the mixture is removed and replaced with pure milk and theoperation is repeated once more. At the end of the two removals andreplacement, what is the ratio of milk and water in the resultant mixture?",9:01,5:03,3:17,17:03,9:01,Aptitude,Hard
97,"In what ratio must a person mix three kinds of tea costing Rs.60/kg, Rs.75/kg and Rs.100 /kg so that the resultant mixture when sold at Rs.96/kg yields a profit of 20%?",1:02:04,1:04:02,3:07:06,None,1:04:02,Aptitude,Hard
98,"How many words of 4 consonants and 3 vowels can be made from 12 consonants and 4 vowels, if all the letters are different?",14C4*8C3*7!,15C4*7!,12C4*4C3,12C4*4C3*7!,12C4*4C3*7!,Aptitude,Hard
99,"There are five comics numbered from 1 to 5. In how many ways can they be arranged, so that part-1 and part-3 are never together?",72,56,81,45,72,Aptitude,Hard
100,How many factors of 25 x 36 x 52 are perfect squares?,21,24,45,32,24,Aptitude,Hard
101,Findthe number of ways in which 8064 can be resolved as the product of two factors?,12,14,24,19,24,Aptitude,Hard
102,"Thereare total 12 ""TRUE"" or ""FALSE"" questions. In how many ways these questions can be answered ?",512,406,2048,1024,406,Aptitude,Hard
103,"Three gold coins of weight 780gm, 840gm and 960gm are cut into small pieces, all of which have the equal weight. Each piece must be heavy as possible. If one such piece is shared by two persons, then how many persons are needed to give all the pieces of gold coins?",320,100,86,65,86,Aptitude,Hard
104,Find the remainder when P is divided by 9?,8,2,3,4,8,Aptitude,Hard
105,The largest number among the following that will perfectly divide 101100�1 is:,10000,100000,1000,100,10000,Aptitude,Hard
106,Theremainder when 7^84 is divided by 342 is,348,1,230,114,1,Aptitude,Hard
107,P�sage is 50 years and Q�s age is 18 years.In how many years will P be twice as old as Q ?,20,12,14,18,14,Aptitude,Hard
108,"Theages of A and B are in the ratio of 8:5 . If the sum of their ages is 39 years,what will the ratio of their ages after 9 years ?",10:08,11:06,11:08,10:06,11:08,Aptitude,Hard
109,"Sumof present ages of A,B and C is 72 years. If 4 years ago , the ratio of theirages were 1:2:3 respectively, find A�s present age.",18,14,10,20,14,Aptitude,Hard
110,"The greatest number of four digits which isdivisible by 15, 25, 40 and 75 is:",9600,8500,8875,8740,9600,Aptitude,Hard
111,"Theleast multiple of 7, which leaves a remainder of 4, when divided by 6, 9, 15and 18 is:",300,364,250,420,364,Aptitude,Hard
112,"Even after reducing the marked price of a transistor by Rs. 32, a shopkeeper makes a profit of 15%. If the cost price be Rs.320, what percentage of profit would he have made if he had sold the transistor at the marked price?",25,120,30,20,25,Aptitude,Hard
113,"Find the C.P of the book,If a book is sold at 5% gain instead of 5% loss,the seller gets Rs 6.72 more.",148.81,120.25,150.41,160.1,148.81,Aptitude,Hard
114,"A shopkeeper sells a badminton racket, whose marked price is Rs. 30, at a discount of 15% and gives a shuttle cock costing Rs. 1.50 free with each racket. Even then he makes a profit of 20%. His cost price per racket is :",37,50,65,20,20,Aptitude,Hard
115,"Two pipes P and Q together can fill a cistern in 4 hours. Had they been opened separately, then Q would have taken 6 hours more than P to fill the cistern. How much time will be taken by P to fill the cistern separately?",6h,5h,20h,10h,6h,Aptitude,Hard
116,"One pipe can fill a tank three times as fast as another pipe. If together the two pipes can fill the tank in 36 minutes, then the slower pipe alone will be able to fill the tank in:",105m,111m,144m,64m,144m,Aptitude,Hard
117,"Three taps P, Q and R can fill a tank in 12, 15 and 20 hours respectively. If P is open all the time and Q and R are open for one hour each alternately, the tank will be full in:",12h,3h,7h,5h,7h,Aptitude,Hard
118,A large tanker can be filled by two pipes P and Q in 60 minutes and 40 minutes respectively. How many minutes will it take to fill the tanker from empty state if Q is used for half the time and P and Q fill it together for the other half?,10min,20min,30min,40min,30min,Aptitude,Vhard
119,"Three pipes P, Q and R can fill a tank in 6 hours. After working at it together for 2 hours, R is closed and P and Q can fill the remaining part in 7 hours. The number of hours taken by R alone to fill the tank is:",10,13,14,16,14,Aptitude,Vhard
120,"Three taps P, Q and R can fill a tank in 12, 15 and 20 hours respectively. If P is open all the time and Q and R are open for one hour each alternately, the tank will be full in:",12h,3h,5h,7h,7h,Aptitude,Vhard
121,A trader marked the price of his commodity so as to include a profit of 25%. He allowed discount of 16% on the marked price. His actual profit was :,4%,5%,4.50%,6%,5%,Aptitude,Vhard
122,"By selling a blanket for Rs. 300, a shopkeeper gains 20%. During a clearance sale, the shopkeeper allows a discount of 10% on the marked price. His gain percent during the sale is :",95,10%,12%,8%,8%,Aptitude,Vhard
123,The cost price of a book is 64% of the marked price. Calculate the gain percent after allowing a discount of 12%.,30%,37.50%,50.45%,65.00%,37.50%,Aptitude,Vhard
124,"A trader marked the selling price of a book at 10% above the cost price. At the time of selling, he allows certain discount and suffers a loss of 1%. He allowed a discount of :",8%,9%,10%,12.50%,10%,Aptitude,Vhard
125,If theproduct of two numbers is 2028 and their H.C.F. is 13. The number of such pairsis,1,2,4,7,2,Aptitude,Vhard
126,"Theleast multiple of 7, which leaves a remainder of 4, when divided by 6, 9,",364,300,250,420,364,Aptitude,Vhard
127,2years ago A�s age was 6 times of B�s age . 6 years after the ratio between theages of A and B becomes 10 : 3. What is A�s present age,44,38,42,34,44,Aptitude,Vhard
128,Ifratio of Kartik�s age to that of his father is 1:5 . After 10 years their ageswill be in the ratio of 1:3 . What is the current age of father?,44,42,50,34,50,Aptitude,Vhard
129,"Ratiobetween present ages of A and B is 3:4 . What is the present age of A if 4years ago , the ratio was 5:7?",22,24,30,34,24,Aptitude,Vhard
130,"Ratioof present ages of father and son is 8:3 . If 10 years from now , the ratiobecomes 2:1 , find present age of son.",14,15,19,24,15,Aptitude,Vhard
131,"5years ago father�s age was 3 times of his son�s age . 5 years from now , theratio between the ages of father and son becomes 11:5 . Find father�s presentage .",30,40,50,48,50,Aptitude,Vhard
132,"Twoprime numbers A,B(A23, then which of thefollowing numbers would always divide A+B?",21,16,12,8,12,Aptitude,Vhard
133,"Acertain number (N1) when divided by 222 leaves a remainder 35, another number(N2)whendivided by 407 leaves a remainder 47. What is the remainder when the sum ofthese two numbers is divided by 37?",14,8,12,22,8,Aptitude,Vhard
134,Whatis the remainder let after dividing 1!+2!+3!.....+10! by 7?,3,5,7,2,5,Aptitude,Vhard
135,Whatis the remainder when 3^7 is divided by 8?,10,33,27,3,3,Aptitude,Vhard
136,"Ina meet, persons from five different places have assembled in Pune HighSchool. From the five places the persons come to represent are 42,60,210,90 and84. What is the minimum number of rooms that would be required to accommodateso that each room has the same number of occupants and occupants are all fromthe same places?",51,71,61,81,81,Aptitude,Vhard
137,"If the letters of the word LABOUR are permuted in all possible ways and the words formed by the activity are arranged in a dictionary, Then calculate the rank of the word LABOUR.",424,442,242,244,242,Aptitude,Vhard
138,Aclass photograph has to be taken. The front row consists of 6 girls who aresitting. 20 boys are standing behind. The two corner positions are reserved forthe 2 tallest boys. In how many ways can the students be arranged?,81!*1440,18!*1440,12!*1440,14!*1440,18!*1440,Aptitude,Vhard
139,If5�nP3=4� n+1P3 find n?,4,5,12,14,14,Aptitude,Vhard
140,"There are three sections consisting of 4,5 and 6 questions respectively in an examination paper. Attempting one question from each section is compulsory but a candidate do not need to attempt all the questions. In how many ways the questions can be attempted?",37362,24352,25259,29295,29295,Aptitude,Vhard
141,"Calculate the number of ways in which a a mixed double tennis players can be arranged, if there are a total of 9 couples and no couple can play in the same game.",2125,1221,1215,1512,1512,Aptitude,Vhard
142,How many litres of water should be added to a 30 litre mixture of milk and water containing milk and water in the ratio of 7 : 3 such that the resultant mixture has 40% water in it?,5l,6l,7l,8l,5l,Aptitude,Vhard
143,Themilk and water in two vessels P and Q are in the ratio 4:3 and 2:3respectively. In what ratio the liquids in both the vessels be mixed to obtaina new mixture in vessel R consisting half milk and half water?,9:02,3:08,2:05,7:05,7:05,Aptitude,Vhard
144,"Onequantity of rice at Rs 9.30 per Kg is mixed with another quality at a certainrate in the ratio 8:7. If the mixture so formed be worth Rs 10 per Kg, what is therate per Kg of the second quality ofrice?",10.8,11.3,14.4,12.4,10.8,Aptitude,Vhard
145,"Avessel is filled with liquid, 3 parts of which are water and 5 parts milk. Howmuch of the mixture must be drawn off and replaced with water so that themixture may be half water and halfmilk?",3-Jan,5-Jan,11-Aug,13-May,5-Jan,Aptitude,Vhard
146,Howmany liters of water should be added to a 30 liter mixture of milk and watercontaining milk and water in the ratio of 7 : 3 such that the resultant mixturehas 40% water in it?,13l,5l,23l,17l,5l,Aptitude,Vhard
147,A 300 metre long train crosses a platform in 39 seconds while it crosses a signal pole in 18 seconds. What is the length of the platform?,370m,530m,350m,580m,350m,Aptitude,Vhard
148,Two trains starting at thesame time from two stations 200 kmapart and going in opposite directions cross each other at a distance of 110 km from one of the stations. What isthe ratio of their speeds?,9:11,11:09,7:08,8:07,11:09,Aptitude,Vhard
149,"A train covers a distance of 12 km in 10 minutes. it takes 6 seconds to pass a telegraph post, then what is the length of the train ?",370m,120m,350m,580m,120m,Aptitude,Vhard
150,"Find the average speed of train during the whole journey, If distancebetween two stations P and Q is 778 km. P train covers the journey from P to Qat 84 km per hour and returns back to P with a uniform speed of 56 km per hour.",67kph,62.4kph,67.2kph,52kph,67.2kph,Aptitude,Vhard
151,"If theaverage wages of a worker during a fortnight comprising 15 consecutive workingdays was Rs.90 per day. During the first 7 days, his average wages wasRs.87/day and the average wages during the last 7 days was Rs.92 /day. What washis wage on the 8thday?",112,57,97,84,97,Aptitude,Vhard
152,"Find the total number of workers in the workshop, If theaverage salary of all the workers in a workshop is Rs.8000. The average salaryof 7 technicians is Rs.12000 and the average salary of the rest is Rs.6000.",12,21,34,26,21,Aptitude,Vhard
153,"Averageof ten positive numbers is x. If each number by 10%, then x :",20%decrease,20%increase,10%increase,10%decrease,10%increase,Aptitude,Vhard
154,"There are three numbers, the first is twice the second and the second is twice thethird. The average of the reciprocal of the numbers is772. The numbers are","24,9,6","16,12,3","22,10,6","24,12,6","24,12,6",Aptitude,Vhard
155,Wendy purchased n napkins and Juan purchased 2 fewer than half as many napkins as Wendy. Quantity A Quantity B The number of (n-4)/2 napkins Juan purchased,Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Both are equal,GRE,Easy
156,"Vicken, Roger, and Adam went to buy a $90 radio. If Roger agrees to pay twice as much as Adam, and Vicken agrees to pay three times as much as Adam, how much must Roger pay?",10,20,30,40,30,GRE,Easy
157,"The profit from selling y units of a product is given by the formula 4y ? 2, where y > 0. Quantity A =4 times the profit from selling y units Quantity=16y � 4",Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Quantity B is greater,GRE,Easy
158,X^3= 27 Y^2 = 16 Quantity A=X Quantity B = Y,Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Both A and B can be greater,GRE,Easy
159,x > y > 0 Quantity A=4x Quantity B=5y,Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Both A and B can be greater,GRE,Easy
160,Quantity A = The price of an item after five consecutive 10% discounts are applied .Quantity B= 50% of the price of the item,Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Quantity A is greater,GRE,Easy
161,0 < a < 3 ?3 < b < 0 a and b are integers. Quantity A=a+b Quantity B =a � b,Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Quantity B is greater,GRE,Easy
